Module,Item ID,English,Bahasa Indonesia
Approval,approval_submission,Approval Submission,
Approval,approval_progress_update,Approval Progress Update,
Approval,final_approval,Final Approval,
Approval,approval_rejected,Approval Rejected,
Approval,revision_requested,Revision Requested,
Inventory,material_running_low,Material Running Low,
Inventory,material_out_of_stock,Material Out of Stock,
Inventory,material_expiring_soon,Material Expiring Soon,
Inventory,material_expired,Material Expired,
Material Request,mr_new_material_request,New Material Request,
Material Request,mr_transfer_started,Transfer Started,
Material Request,mr_receipt_confirmed,Receipt Confirmed,
Material Request,mr_receipt_rejected,Receipt Rejected,
Material Request,mr_cancelled_by_preparer,Material Request Cancelled by Preparer,
Work Order,wo_new_work_order,New Work Order,
Work Order,wo_outsource_po_issued,Outsource Purchase Order Issued,
Work Order,wo_outsource_po_receipt_recorded,Outsource Purchase Order Receipt Recorded,
Work Order,wo_outsource_po_fully_received,Outsource Purchase Order Fully Received,
Work Order,wo_deadline_approaching,Deadline Approaching,
Work Order,wo_deadline_overdue,Deadline Overdue,
Work Order,wo_changed_to_completed,Changed to Completed,
Work Order,wo_changed_to_cancelled,Changed to Cancelled,
Custom Product Request,cpr_new_request,New Request,
Quotes,quote_valid_until_reminder,Quote Valid Until Reminder,
Quotes,quote_revision_requested_by_customer,Quote Revision Requested by Customer,
Quotes,quote_approved_by_customer,Quote Approved by Customer,
Quotes,quote_rejected_by_customer,Quote Rejected by Customer,
Orders,order_new_order,New Order,
Orders,order_invoice_paid,Order Invoice Paid,
Orders,order_deadline_approaching,Order Deadline Approaching,
Orders,order_deadline_overdue,Order Deadline Overdue,
Orders,order_changed_to_completed,Changed to Completed,
Orders,order_changed_to_cancelled,Changed to Cancelled,
Invoice,invoice_revision_requested_by_customer,Invoice Revision Requested by Customer,
Invoice,invoice_approved_by_customer,Invoice Approved by Customer,
Invoice,invoice_rejected_by_customer,Invoice Rejected by Customer,
Invoice,invoice_due_date_approaching,Due Date Approaching,
Invoice,invoice_overdue,Invoice Overdue,
Invoice,invoice_payment_proof_submitted,Payment Proof Submitted,
Invoice,invoice_payment_proof_rejected,Payment Proof Rejected,
Purchase Order,po_expected_end_date_approaching,Expected End Date Approaching,
Purchase Order,po_expected_end_date_overdue,Expected End Date Overdue,
Purchase Order,po_payment_overdue,Payment Overdue,
Bulk Upload,bu_ready_for_review,Bulk Import Ready for Review,
Bulk Upload,bu_completed,Bulk Import Completed,
Bulk Upload,bu_cancelled,Bulk Import Canceled,
